id,task_1,task_2
1ab4df74-dd4d857d,satire,satire
20c9e18b-719224b4,no-satire,no-satire
ee2f0a5d-821db04e,satire,satire
93ed8e78-5febec96,no-satire,no-satire
da7688a3-aec422e3,satire,satire
15548fb0-de9928da,no-satire,no-satire
e13fb4f1-9775ea1e,satire,satire
1e90f54e-2c3dc75f,no-satire,no-satire
028d591d-9c15d040,satire,satire
4b297c73-d240ff59,no-satire,no-satire
f0817c2b-6d614481,no-satire,no-satire
6cdd8c13-b663cc64,satire,satire
5f3cef60-fe80c46f,satire,satire
a5446cef-ea856987,satire,satire
339b80cc-501b0747,no-satire,no-satire
f970eb44-d1d73f9e,satire,satire
5cece952-3541cb70,no-satire,no-satire
290a02a7-4b1ad4ed,satire,satire
506bacc7-9c0136c0,no-satire,no-satire
59ad6f8f-293c957d,satire,satire
f28d4410-141419d1,no-satire,no-satire
7c27c7b8-7b8b68c6,no-satire,no-satire
579b5163-7a047f30,no-satire,no-satire
ee06d63d-4dd2719b,satire,satire
90ee837d-0c3e8333,no-satire,no-satire
1105d3f9-bd2ddc90,satire,satire
77bd8bd4-05bb57b6,satire,satire
1450e430-2ed79173,no-satire,no-satire
639f5541-419bb8c9,satire,satire
b445d879-7945622c,no-satire,no-satire
ff7d8cd3-41096e75,satire,satire
6470c8db-7199e265,satire,satire
8be66899-dbe36ebe,no-satire,no-satire
ae2af165-54225c09,no-satire,no-satire
3de773c2-71701ec5,no-satire,no-satire
0e55963a-a8f6c6d3,satire,satire
d8a6f3c1-0c13ca93,no-satire,no-satire
cf4438ff-b84004ed,satire,satire
23db1b16-7fd694e5,no-satire,no-satire
25180937-4d736e0d,satire,satire
57c32cd0-68abe37d,satire,satire
0cd3cc6d-21ba83e6,no-satire,no-satire
e5a5a955-70c70c60,satire,satire
492a57ba-a00acf7e,no-satire,no-satire
01600d35-d823eb6d,no-satire,no-satire
82a40890-dba23ee6,no-satire,no-satire
0c186798-14ed2410,satire,satire
e5162f58-ce7d5b53,satire,satire
5f51d279-00bab0f3,satire,satire
aaebd6d2-e8922735,satire,satire
35acee9f-421ca0a9,no-satire,no-satire
65ea20a7-d8cec18f,satire,satire
0d252a6b-085e8df2,no-satire,no-satire
1da4e711-11f52754,satire,satire
cf82cdf0-dc979786,no-satire,no-satire
4379c68a-a2f2ff2b,satire,satire
0cf5ec02-b92e575d,no-satire,no-satire
90255181-f20d75aa,no-satire,no-satire
cd154b22-fd903a69,satire,satire
70e62c53-7370e8ee,no-satire,no-satire
d7118a7e-f691b8b5,no-satire,no-satire
2b7a82ce-7c1acff8,satire,satire
1d0c2db6-b9b56e03,no-satire,no-satire
7c20599a-fe735ad8,no-satire,no-satire
b0788874-43e738f8,satire,satire
0ffaede0-d282b87a,satire,satire
91e454a3-f22f89c3,no-satire,no-satire
3b58340b-5f0e5cbc,no-satire,no-satire
bb2d219e-e7b74026,no-satire,no-satire
6706e37b-adcc55ff,no-satire,no-satire
0a3328ad-289f0c13,satire,satire
d9b0d63c-7c727561,satire,satire
35c86376-8cabb9b4,no-satire,no-satire
7bfd3d7a-08780ed2,no-satire,no-satire
c2824925-b115c870,no-satire,no-satire
10c23a48-e87bfa6b,no-satire,no-satire
dae1e007-a5a84b64,no-satire,no-satire
d1c88e4e-6df530ae,no-satire,no-satire
3501ab2a-c76db6cf,no-satire,no-satire
56bd552e-2e245f53,satire,satire
2799944f-152de796,no-satire,no-satire
9a79cd2c-548a68b2,no-satire,no-satire
e08c1c4c-e8cbb021,no-satire,no-satire
925a3cf5-c0476c97,no-satire,no-satire
94beaea9-4de38bd4,satire,satire
0c5b793d-f312cae3,no-satire,no-satire
04da8cb9-2c63df12,satire,satire
0a5dcfbc-a7ecf1c7,satire,satire
15b08b78-a79bf4b3,satire,satire
8c701593-235963e0,satire,satire
90ceca1a-42a9620c,no-satire,no-satire
a4d8e2bf-eeef039b,no-satire,no-satire
a850e306-51699c3c,satire,satire
edebb286-b95f2cfc,satire,satire
69050eaf-ba61d965,no-satire,no-satire
b26cfe76-c48c13a9,satire,satire
9b36282d-729e7b97,no-satire,no-satire
5edb1c9f-6c8143db,no-satire,no-satire
ac51afab-34d7b185,no-satire,no-satire
465e4fe2-9e71fb3a,no-satire,no-satire
4753a110-5147f1b3,no-satire,no-satire
ca81ed0d-5b7793bc,no-satire,no-satire
5da20d16-b808c6fa,no-satire,no-satire
6a9c6675-aa0d5229,no-satire,no-satire
7b63a721-a5ab476f,satire,satire
d92cc779-808fbaac,no-satire,no-satire
d7d57d04-86253a68,satire,satire
f89dde68-cad073df,no-satire,no-satire
70d09cf5-b400b0b5,satire,satire
a74de89b-ebbf0880,satire,satire
5cf33cdb-c8e97cca,no-satire,no-satire
87faf7cf-a7be16df,no-satire,no-satire
245b6e80-57054afa,no-satire,no-satire
53ca38bc-4a847ef8,no-satire,no-satire
8be0a6b0-3aaede9c,satire,satire
e6b9ab13-e8bfb887,satire,satire
4accc4eb-63c01ed8,no-satire,no-satire
3569396a-77ef62d1,satire,satire
2532d81a-b19ad5b5,no-satire,no-satire
c73553d9-3e364ccd,no-satire,no-satire
2c818ed1-47d4ed18,satire,satire
d6974366-bc53c3f6,no-satire,no-satire
00d79f7b-f88e545a,no-satire,no-satire
28c7f868-cdc7aec9,no-satire,no-satire
81f932e4-bc54a41c,satire,satire
141e69c3-757df78f,no-satire,no-satire
81bab512-8e7cff8d,satire,satire
f0ccdd00-7d6d65fd,satire,satire
72b84ff6-be9af25c,no-satire,no-satire
6ce0b8fe-e3be239e,no-satire,no-satire
80164956-7fdc223e,no-satire,no-satire
c22e495f-b423dd0f,satire,satire
37cb6ff3-eaa247ea,no-satire,no-satire
b03c2c28-fbba138c,satire,satire
de7e106d-77a7bbca,no-satire,no-satire
85734ec3-c1fa3b30,no-satire,no-satire
1e9e8a91-e9ff8638,satire,satire
d98a102e-a3bb93ab,no-satire,no-satire
f493be60-59c09dac,satire,satire
a3ee08e7-0a188bd1,satire,satire
00149541-281c80b2,no-satire,no-satire
3076eace-a7f1e860,no-satire,no-satire
d1a05017-9a88e80b,no-satire,no-satire
77f8f9ac-16993f0c,no-satire,no-satire
9511686a-04e023cc,no-satire,no-satire
c845eeee-d048890b,satire,satire
c896467e-f58d5198,satire,satire
5271eb4b-a72e5c3c,satire,satire
a8764e47-50d28a47,satire,satire
d61f3f02-81002968,no-satire,no-satire
309d8381-388e63eb,satire,satire
dddb4c36-bdac1123,satire,satire
0aacb30c-5456cecb,no-satire,no-satire
434038de-17364ad8,satire,satire
e3b5106a-a6c4c5af,no-satire,no-satire
1ed46bc0-b86a550d,satire,satire
89e7a8ea-06dce279,satire,satire
9420323a-77b73c87,satire,satire
e3174c17-e5145877,satire,satire
d90f596d-7f284ec4,no-satire,no-satire
ce3c9ec0-902e579f,no-satire,no-satire
4a19e3c6-b85d8ff2,no-satire,no-satire
6ce07f94-ede38304,satire,satire
f98fad3e-58d49cc3,satire,satire
3d220de0-c7d83c43,satire,satire
0c008e71-72cbd7c7,satire,satire
37acc12b-77dd2307,no-satire,no-satire
c04e3c39-266316f0,satire,satire
0ed1983e-43ade60f,no-satire,no-satire
ea1b6623-7c60c290,no-satire,no-satire
3b7b43fc-abf46c4b,no-satire,no-satire
86cff37c-3126a94b,no-satire,no-satire
eb771681-c57de5f4,satire,satire
eda20a1a-c49edfdb,satire,satire
caa0883c-04dcb61d,satire,satire
227e596e-3ca57251,satire,satire
d329f01a-01d8877e,satire,satire
3a611cab-0b2db1ce,satire,satire
d42eba5b-c0d355bd,no-satire,no-satire
6ee2911e-81299d7c,no-satire,no-satire
e56453fa-911f1def,satire,satire
e03043bd-8c7a3ec2,no-satire,no-satire
7eeca6db-19ba6b40,no-satire,no-satire
a2d79383-d2633af9,no-satire,no-satire
2f4f015d-ec8e52b1,no-satire,no-satire
f70545c7-f28e4e5d,satire,satire
331142c2-a1b9c583,satire,satire
a67d296f-c29eff01,no-satire,no-satire
a9864937-10608c4c,satire,satire
b12689be-ab054a2b,no-satire,no-satire
d8406aac-58a65d27,no-satire,no-satire
fb38bb80-bca21085,no-satire,no-satire
34e6bf40-263498a7,satire,satire
8d34264f-e1b9712e,no-satire,no-satire
b4ff52b5-045cce29,no-satire,no-satire
52aec222-02d47db2,satire,satire
933842cc-3e287a4a,no-satire,no-satire
6a7262b2-f0350fc3,no-satire,no-satire
82196a25-8b50eaae,no-satire,no-satire
224c18f3-1863b5e9,no-satire,no-satire
8722f513-bb7ef0fa,no-satire,no-satire
3889a67c-6b948c2a,satire,satire
d46c08ff-ebf22f16,satire,satire
5d1042c3-1ea3134d,satire,satire
a24a91d8-510e77d0,no-satire,no-satire
9059c877-5b06b9f0,satire,satire
c17abf89-f5438402,no-satire,no-satire
1b66074f-1bc86ff5,no-satire,no-satire
95256641-4596de27,satire,satire
842324eb-64598171,no-satire,no-satire
4a593dd6-4b442737,no-satire,no-satire
6a42be24-9102b3fe,no-satire,no-satire
3cfa26d7-b0e7bb86,satire,satire
f9b08c74-7e232c0e,satire,satire
45779102-5bb1e0d5,satire,satire
0de88ec6-39469de9,no-satire,no-satire
6c7f3c40-262e7dd6,no-satire,no-satire
a80699f8-840742fa,no-satire,no-satire
8d95d42b-98737fe0,satire,satire
758a1630-f1ef5445,no-satire,no-satire
33e1ef1a-05df57ce,no-satire,no-satire
3cce2f95-04543ca2,no-satire,no-satire
2b84f29d-9f8078ca,no-satire,no-satire
01d3d05f-7247dd53,no-satire,no-satire
d1746075-34bdecb2,satire,satire
9fe574ee-d028161d,no-satire,no-satire
7272603f-06cb687d,no-satire,no-satire
4f9322e8-f1c8fe34,no-satire,no-satire
8245922a-b543473f,satire,satire
5961f178-d98492b3,satire,satire
9a10f550-76161a40,satire,satire
d985ad8e-550b503a,no-satire,no-satire
f2020275-b0386595,no-satire,no-satire
db82ac67-93093e82,satire,satire
a76fc595-73c09591,no-satire,no-satire
81ea95de-5084c0f5,satire,satire
8c6d75b5-1293a0b3,satire,satire
a15eeff6-07d2bca4,no-satire,no-satire
9fdacd09-482a3db6,satire,satire
5a6574fe-e0d7cdc4,satire,satire
697d9510-5165f0e5,satire,satire
e89425d6-62fc5928,satire,satire
5dbf9d61-decc7197,satire,satire
a0913f61-9a09330c,satire,satire
1c673a68-582543eb,no-satire,no-satire
f403fba3-2293cb1e,no-satire,no-satire
5422e122-0484a6de,satire,satire
2800f669-73ce57e0,no-satire,no-satire
eef5858e-ed696e38,satire,satire
11362e20-714dde56,no-satire,no-satire
697b7aad-07a7a925,satire,satire
6ab4736a-1ba5138e,no-satire,no-satire
ec06bada-c0d1d631,satire,satire
7aed6177-b424f360,no-satire,no-satire
a6a7ff71-e203c9c7,no-satire,no-satire
ada741e4-630db553,satire,satire
4f6bb23e-b4e359ef,satire,satire
08297f04-a1ed12d7,satire,satire
48e03c64-1245d406,satire,satire
9563e00a-7ea347a2,satire,satire
85eea464-b79514d2,no-satire,no-satire
25035ca0-e1894789,no-satire,no-satire
43e25cda-1feba464,satire,satire
335afe76-9a6ed18b,satire,satire
6c7d2c1b-7f5ebb67,no-satire,no-satire
0842e579-4d048280,no-satire,no-satire
8861e7b6-3f3f175f,no-satire,no-satire
e8b1e9d6-1eac1414,satire,satire
fe4b4e88-8210ed2e,satire,satire
d5f74c51-24f39b92,no-satire,no-satire
4ab58edc-7be092f1,satire,satire
d699f11b-77ad6eac,no-satire,no-satire
6f21137f-5183ced9,satire,satire
20e065b4-3e5d8c7c,no-satire,no-satire
d1864ba8-f3af1636,satire,satire
c46d34eb-c1e80a05,satire,satire
093fb12e-80bd2dde,no-satire,no-satire
21335935-29c4a28e,no-satire,no-satire
c7b36cc5-77ed1817,satire,satire
5130b3cf-e7abf40e,satire,satire
2cc21886-d8ea3c6b,no-satire,no-satire
ba142530-2b679b9c,no-satire,no-satire
08ae8f0e-ca9bc769,no-satire,no-satire
88ea842a-984b7c4c,no-satire,no-satire
c520d07d-b39f2068,no-satire,no-satire
e8b7d5ff-95dec609,no-satire,no-satire
7885906d-7351cd96,satire,satire
e666c788-adb54d3f,satire,satire
4a289cd8-e9df3eaa,no-satire,no-satire
3e6b73e3-d31363dd,satire,satire
2b7a74ba-beaa34c5,satire,satire
acfcd4ff-c2c61224,satire,satire
136885ee-993924d9,no-satire,no-satire
c1ded567-8dfc2eea,no-satire,no-satire
4d108697-866d9efa,satire,satire
99a8147d-bf8d5069,no-satire,no-satire
f275ad92-d0c6bda8,no-satire,no-satire
fbe832aa-43b72270,satire,satire
9b3817f4-8d06f2d3,no-satire,no-satire
0f23b9f0-19b5681b,satire,satire
32fd5d3d-e80865f4,no-satire,no-satire
11e183c2-299bcfab,no-satire,no-satire
0dbb9c84-8052fae8,satire,satire
baee9366-dec075ea,no-satire,no-satire
16d6e6d8-5fc32893,satire,satire
8350c8c1-1e48ec32,no-satire,no-satire
572158fe-7996097d,no-satire,no-satire
b4726305-b46c757e,satire,satire
dbaeab5d-8064453e,no-satire,no-satire
533cd62f-aa676cd8,satire,satire
d6723880-745306ae,no-satire,no-satire
c39040c7-01cfce82,satire,satire
dd513eca-084dc95a,no-satire,no-satire
271288b1-74bd63f6,satire,satire
21ca38d1-7bdb6ea5,no-satire,no-satire
a5b306f7-3f53860f,satire,satire
8a05c6b2-12e0fca9,satire,satire
46852e1c-6089b583,no-satire,no-satire
86840d36-e2539195,no-satire,no-satire
415a61f9-dbd15422,no-satire,no-satire
6c4c889b-f42b083a,satire,satire
940bf1b1-b5bc901f,no-satire,no-satire
f888d22e-919fd73d,no-satire,no-satire
b916e05a-22dd2f29,satire,satire
08ef1ce3-1971b5ea,no-satire,no-satire
77913b87-4174448c,no-satire,no-satire
533a02f8-afeb4232,satire,satire
186c71c9-3a81538d,no-satire,no-satire
79c6b7b9-72e088ab,no-satire,no-satire
83ace12f-cb219ba9,no-satire,no-satire
cba8d099-e870886f,satire,satire
083d0f6a-2dafeb6e,satire,satire
98e63812-f216046a,no-satire,no-satire
d3ac912f-ec1c6205,satire,satire
7433dd5c-4157bfb6,satire,satire
c3b16beb-a4df7c1d,no-satire,no-satire
c8df65ea-7c21012f,no-satire,no-satire
f74283b4-7dfb2eb1,no-satire,no-satire
897e8f2e-f447f1c8,no-satire,no-satire
c6b93f02-23e7ba0d,no-satire,no-satire
110fe469-f59208d5,satire,satire
d885e9a0-85fb4369,satire,satire
2f4e4339-135c93b2,satire,satire
2f99be81-6094e19e,satire,satire
3e7afa73-2dbf2219,satire,satire
53ac99d7-6d55b950,no-satire,no-satire
de79d5c3-54b7c214,satire,satire
d937e867-2fab072a,no-satire,no-satire
0ccdebc9-a8f25dde,no-satire,no-satire
d2d07259-1bb1d4e4,satire,satire
36aae560-018326e0,satire,satire
90ea0873-16aba682,satire,satire
51c392f8-d8f6e447,no-satire,no-satire
b1ab187c-8312037c,no-satire,no-satire
9500593d-977ac654,no-satire,no-satire
25418b06-7ad7ef6b,satire,satire
fd02957f-499c788b,no-satire,no-satire
e60e163e-c2df9db6,no-satire,no-satire
f61dbaed-103ddd03,satire,satire
ac3b3b76-bedd0ff6,no-satire,no-satire
0f963792-1472b540,satire,satire
332df926-55fdd8f0,no-satire,no-satire
fe464089-721a34c2,no-satire,no-satire
44dd917c-60e8df86,satire,satire
ed855ce3-ae012334,no-satire,no-satire
fed61330-950ec4df,no-satire,no-satire
a52f5a11-a5814d38,satire,satire
4fa42649-4d396e26,satire,satire
14fea595-df3f6a21,satire,satire
19242d20-e081eb17,satire,satire
0f83499e-4439b5b6,satire,satire
35b91d0e-3030171e,satire,satire
b7664f5d-2d1abdb5,satire,satire
b47628d8-b8d032d0,no-satire,no-satire
43765ac9-6da3e1c5,satire,satire
bffc04dc-fc3cf6bc,no-satire,no-satire
5f03d691-c08da2d2,no-satire,no-satire
8326392d-1d73de6f,no-satire,no-satire
2d200979-209c81d5,satire,satire
41e07d11-605f0c9f,satire,satire
278ca21c-801c3e8e,satire,satire
9043313f-029afcaf,no-satire,no-satire
0e709cbf-d25fa82b,no-satire,no-satire
8642709d-0c52b40b,satire,satire
4538804f-ae67688b,no-satire,no-satire
f435cf2e-a934c887,no-satire,no-satire
37dc42d6-19b8d2ab,satire,satire
5d452666-3e9afa4f,satire,satire
4f168aac-417e3530,no-satire,no-satire
35aa1166-03dc16d4,no-satire,no-satire
cf28ec68-586ad9b7,satire,satire
4d19b3e3-85732d49,satire,satire
da9fdb83-185ad32b,no-satire,no-satire
468ae0fe-43e9ddca,no-satire,no-satire
69abc639-090d39b2,satire,satire
54cf0e8b-2c9cb8a7,satire,satire
4e1a91e2-e3804035,no-satire,no-satire
7949c24b-26c7c58c,no-satire,no-satire
cd9205c0-23cbbfeb,satire,satire
ed3eb7f6-4ca44fe3,no-satire,no-satire
0b65da78-3727cd08,no-satire,no-satire
ae54c11c-f37a8168,no-satire,no-satire
3c1686ef-2c640637,no-satire,no-satire
fc4769f6-bcb72198,satire,satire
5bb65e20-fb217b99,satire,satire
323e747b-d04dcf9a,no-satire,no-satire
bd266ea3-f2fd8bd5,no-satire,no-satire
b9d00466-49744c47,satire,satire
f56c92e8-7296b2ab,satire,satire
7264a217-12946094,satire,satire
34bbfaeb-7888930a,satire,satire
83adf583-fc5669b3,no-satire,no-satire
995021e1-7b575cd6,satire,satire
5ad9f6c2-fbecdb2f,no-satire,no-satire
990346ef-7b159879,satire,satire
593823bd-0f5e2fde,no-satire,no-satire
5c3bdef8-5e468596,satire,satire
04426427-12640ef7,satire,satire
4f2dc6ad-d2f73082,satire,satire
9c88a710-6e7e0215,satire,satire
81e83e7c-c277b200,satire,satire
d502b3f9-34bcca6f,no-satire,no-satire
ebe47ddf-c6f52bde,no-satire,no-satire
71b00453-2dae36b9,satire,satire
c56092ed-931b3c55,satire,satire
1b1258c8-aab24f35,no-satire,no-satire
bc1f51ba-8b543ace,no-satire,no-satire
033b7dc6-c318e159,no-satire,no-satire
edc6a79d-40fd8bc4,satire,satire
b0010d35-4e3aebda,no-satire,no-satire
3830ba0d-b73827c0,no-satire,no-satire
48b23bb7-b6c9fc7d,satire,satire
515ee125-2b6c9cdc,satire,satire
373ab7dd-a7bda322,satire,satire
a55606c3-44b6b5f5,no-satire,no-satire
365d0844-e139348b,no-satire,no-satire
dd3331cf-10196b36,no-satire,no-satire
7659d69e-d6d1929b,no-satire,no-satire
852f4ebd-ba6198d8,satire,satire
298736d3-2ad4057b,no-satire,no-satire
e4603d48-68f58fe5,satire,satire
76b44f48-e243a68a,satire,satire
e8f2e1b9-586d94df,no-satire,no-satire
a44dd75e-79d21476,no-satire,no-satire
28f0abdb-b3893e53,satire,satire
c69e84b0-9ed97643,satire,satire
07d22948-4cfb27a9,no-satire,no-satire
504d07ef-a847338c,satire,satire
d57def75-32315226,satire,satire
46d8800b-caedea87,satire,satire
2490aa82-f2ba641b,no-satire,no-satire
68258ae8-adbedb54,no-satire,no-satire
ecf6201c-58d6b6a7,satire,satire
7087ff8d-40d3af95,satire,satire
d947b8ec-5ae36fc4,satire,satire
40223b39-68e599a3,no-satire,no-satire
abf52846-e0bbac40,satire,satire
7f7a4802-169d5fe8,satire,satire
9ee992f0-bf26e144,no-satire,no-satire
3ac2e837-272eea3d,no-satire,no-satire
69a0eb95-ab15f784,satire,satire
7e5dab18-98a0b579,no-satire,no-satire
f2cfb912-9be432d6,satire,satire
390c75d5-23d508fd,satire,satire
e813fb3b-2b0c63bd,no-satire,no-satire
a3f29ed8-28a3c1bc,satire,satire
f9ebe96b-e664e5f1,no-satire,no-satire
d3051292-26cb3d09,no-satire,no-satire
f7611d0b-670babef,satire,satire
eeab3fc8-ea8005bd,satire,satire
3faa8753-9498d039,satire,satire
83dea8aa-1c150336,satire,satire
7551f6e2-b5ca993a,satire,satire
eb3a8f7e-dbe346a1,satire,satire
7617f648-b450f0fc,no-satire,no-satire
7acb2550-ee4effb8,no-satire,no-satire
9bcbec40-9fbe09f7,no-satire,no-satire
0d2ff868-e347587c,no-satire,no-satire
da2e0a98-df4b78a0,satire,satire
992adcf5-fb702fc0,no-satire,no-satire
5ff51a49-176b7651,satire,satire
d363fdd1-279593e8,no-satire,no-satire
f7cdd355-44cd2326,satire,satire
d0a49103-94b6fed7,satire,satire
085f9266-dd3e8d07,satire,satire
9d4de755-70e7c9b5,satire,satire
de8c3c89-c0ae1ef7,satire,satire
f40353ff-09382d6d,no-satire,no-satire
d56f98b1-9a54b85d,no-satire,no-satire
30e00091-a7d6d8e4,no-satire,no-satire
f5c41972-961361f4,satire,satire
2568f9bd-849ff1c9,satire,satire
1e52964c-820c93fa,no-satire,no-satire
b8b946e6-4f952610,satire,satire
68ad4dac-9e07eb31,satire,satire
b4e591a4-d44cd6eb,satire,satire
df286776-6aa1e967,satire,satire
972137e6-688783d3,satire,satire
64de989c-94867bdc,satire,satire
dab012ea-9ac06f37,satire,satire
583f3c67-ce552744,satire,satire
af459ea6-09285f3c,no-satire,no-satire
d4997e41-008d45be,satire,satire
0e4ba6b9-8111f01f,no-satire,no-satire
6a35c5cd-1596c5ac,no-satire,no-satire
1444601e-44fdb91d,no-satire,no-satire
c4509ff8-03c24290,no-satire,no-satire
a93f01e3-65b021a7,satire,satire
d8693fc8-b87c40a7,no-satire,no-satire
d149346b-db4c3f24,satire,satire
976dd7e0-f833583e,satire,satire
e17b7981-17f2cc01,satire,satire
6c26c21e-5ef072b6,satire,satire
7a6d1316-d85831e3,no-satire,no-satire
afe1036e-5be20a03,satire,satire
9b8760b2-0626dc10,satire,satire
6005fc2c-13b950b1,satire,satire
2cd44420-b76c987d,satire,satire
3992799a-7ba705ff,no-satire,no-satire
c9dcf12b-7a5d17b2,no-satire,no-satire
0ce8e110-12dc1c21,no-satire,no-satire
ebc49ff2-84bb058b,satire,satire
85aad6a1-d272c17f,no-satire,no-satire
5952d331-2182ae8d,no-satire,no-satire
540d8bfc-1a25d2eb,no-satire,no-satire
ecd92da4-2f5e8233,satire,satire
76178eb6-fd3932f9,no-satire,no-satire
1ad1e185-6aa90107,satire,satire
bbdd0948-3e8b1c42,satire,satire
9b4d8b1d-ee420117,satire,satire
d5b4ec65-99db45e9,satire,satire
dcca5ebc-bc296400,no-satire,no-satire
68ee3d3e-ef87b531,no-satire,no-satire
db927155-11a8f33c,satire,satire
555cea1b-29f434bb,satire,satire
2b066dda-42858279,satire,satire
bd683b9c-c00185ea,no-satire,no-satire
d690729f-499f5398,satire,satire
91ce1337-92abbf4f,satire,satire
0a711fd4-c127b7a3,satire,satire
25f8b651-68437bfc,satire,satire
b29856f0-40e86683,satire,satire
28f6ebec-f2e91abc,no-satire,no-satire
d5a651b2-c30e7100,satire,satire
aaa706ba-c89f7c42,satire,satire
0dcdc2ec-ad223f0f,no-satire,no-satire
dad01489-68e3220b,no-satire,no-satire
b4c6f83a-8e55cc9b,satire,satire
40b4dd38-e77e8f74,satire,satire
d0e7a0aa-82e0cb8a,satire,satire
351ae03d-bc710999,no-satire,no-satire
f7ac0934-be00c1c9,no-satire,no-satire
203f9adc-9420449a,satire,satire
5b3cfc52-6310596d,no-satire,no-satire
d50b2b6d-a31312f1,satire,satire
70e451cb-4efc6af0,satire,satire
93f0bd30-4e2a3b62,no-satire,no-satire
ceb23f1a-1e3b9f0a,no-satire,no-satire
f4f4765f-ab2f299e,no-satire,no-satire
cd4658f0-43da2be1,no-satire,no-satire
5477a406-8ad723e7,satire,satire
089590d9-ba570993,no-satire,no-satire
fb37054e-c9289a27,satire,satire
4e504b0e-e3618ea1,no-satire,no-satire
3f03f9d0-81f57d3d,no-satire,no-satire
da64645f-a9228fbd,no-satire,no-satire
b67aea4b-1884028d,no-satire,no-satire
1e383c60-eb531a0d,no-satire,no-satire
664f19a2-fec153d6,satire,satire
6a01cecb-2253310d,no-satire,no-satire
6b63dba8-b11fd37e,satire,satire
c893a5e8-4b6f11c8,satire,satire
4a732486-084e84bc,no-satire,no-satire
3c252b3c-80540022,satire,satire
c49e2e12-06dbb695,satire,satire
391d3ead-45214fa1,no-satire,no-satire
df23e39c-9b7d8a2d,no-satire,no-satire
7a801021-cfd0c9be,no-satire,no-satire
0d0787c4-79aa176d,satire,satire
04967100-c3d2ac21,no-satire,no-satire
10e6edb2-4b9146c9,satire,satire
e1747447-7257be9b,no-satire,no-satire
c272090f-137db94d,satire,satire
97d999f7-18bea628,satire,satire
f65e0d8b-e77d8c7c,no-satire,no-satire
ce23f0bf-ae6874d6,satire,satire
3e93c8fc-60595ded,no-satire,no-satire
3dcc473f-12058d16,no-satire,no-satire
93823a17-ec444ce7,no-satire,no-satire
17cb3802-92853dea,satire,satire
599ed9c7-d5b841a9,no-satire,no-satire
5395d13a-ec935339,satire,satire
c476e50f-caf10f2c,satire,satire
d289f099-03925627,no-satire,no-satire
0f576a06-7d8f7a70,satire,satire
f0672ea7-40b34fa4,satire,satire
b69147cd-20a737c3,satire,satire
0a29954f-d21d234e,no-satire,no-satire
ecb59cd1-5852b867,no-satire,no-satire
ee0606d7-3ad8de7d,satire,satire
6cc0bd4c-8bfb9ed5,satire,satire
e6e37232-5305a978,no-satire,no-satire
2720c4bc-169dd5b1,satire,satire
c470038b-0b567a72,no-satire,no-satire
a5348143-ea1a8059,no-satire,no-satire
6edcb0ed-63475130,satire,satire
5f332853-82614178,satire,satire
17332e97-6a01bf91,no-satire,no-satire
12fbcd8e-c8bf6a07,satire,satire
8f4fc8f6-24bf1b9b,satire,satire
82e31394-7f919fcf,no-satire,no-satire
eb389bf1-46e267bd,satire,satire
d3170480-a2638298,satire,satire
0891fa83-b6ad7bf6,satire,satire
8d82108a-b0072ec9,no-satire,no-satire
7611f127-ec1707cd,satire,satire
9c71c1b7-a21e049d,satire,satire
712f653e-1e422ac4,no-satire,no-satire
77e58bb1-3ff88462,no-satire,no-satire
00da6cf1-a7159f00,no-satire,no-satire
a312e876-0579fcd0,satire,satire
919a52f8-b8bdec3e,satire,satire
0772996c-f9ec5515,satire,satire
93fcbfa0-d993a978,no-satire,no-satire
b756339f-726c6764,satire,satire
8f32a39e-31030c9a,satire,satire
5ae70a90-bcf0b0f2,satire,satire
4c247d4b-01f53636,no-satire,no-satire
cbbc96be-1884c61b,satire,satire
b8234831-3fdcf5a0,no-satire,no-satire
7a97d379-55d9aebb,no-satire,no-satire
c235ec1f-c85b4f51,no-satire,no-satire
bbc69a0c-ff6215f0,satire,satire
0b918e6e-9845c7e0,no-satire,no-satire
8ded3da6-ede13838,satire,satire
edf9bc08-b40851dc,no-satire,no-satire
641c4171-e2d261db,satire,satire
8a6f90b9-2f2f7fa9,no-satire,no-satire
563c0bec-f5a3a8c8,satire,satire
946c5362-f3605ec5,no-satire,no-satire
17552ca8-b0c4f2bc,no-satire,no-satire
45045e45-30a8581b,satire,satire
be416d9a-625cffdc,no-satire,no-satire
4f987be1-4f7810a8,satire,satire
1d6dbac6-8f116d51,no-satire,no-satire
ee7e914c-42d7d624,satire,satire
703b0d0c-d30af04c,no-satire,no-satire
6f629d4a-eb597a8b,satire,satire
16804f77-7906f797,no-satire,no-satire
23e32c37-7184760f,no-satire,no-satire
7e306cd5-07f6c793,satire,satire
adcfde2f-da840069,no-satire,no-satire
a414a46d-1d07ff62,no-satire,no-satire
1b70d309-40f92e56,satire,satire
c66d61b7-9ab7d564,satire,satire
4a1ea0bc-d37c4b86,satire,satire
9392847b-8f60b881,satire,satire
34033138-a0a71cc1,satire,satire
eae5747d-0884cef7,no-satire,no-satire
93871cdb-abd022e7,no-satire,no-satire
c7781e2e-141d2f3e,no-satire,no-satire
b56f2a85-ac489f1b,satire,satire
5a40da7c-0d346831,no-satire,no-satire
89b18f18-5dad48d6,satire,satire
f2490ebc-7c1faea4,satire,satire
bb2c651f-7831c5c7,no-satire,no-satire
c0253015-c5dc89eb,no-satire,no-satire
973d2f7c-ae53c297,satire,satire
